ESFJ,ESTJ - very compatible,ENFP - very compatible,ISFJ - potentially compatible,ESFJ - potentially compatible,ENFJ - potentially compatible,INFP - potentially compatible,ISFP - potentially compatible,ISTP - potentially compatible,ESFP - potentially compatible,ESTP - least compatible,ENTJ - least compatible,INTJ - least compatible,ENTP - least compatible,INTP - least compatible,INFJ - least compatible,ISTJ - least compatible
ESFP,ESTP - very compatible,ISFP - very compatible,ESTJ - potentially compatible,ESFJ - potentially compatible,ISFJ - potentially compatible,ESFP - potentially compatible,ENTP - potentially compatible,ENFJ - potentially compatible,INFJ - potentially compatible,ENFP - potentially compatible,INFP - potentially compatible,ISTJ - least compatible,ISTP - least compatible,ENTJ - least compatible,INTJ - least compatible,INTP - least compatible
ISFP,ESFP- very compatible,ISFP - very compatible,ESTP - potentially compatible,ESTJ - potentially compatible,ESFJ - potentially compatible,ISTP - potentially compatible,ENFJ - potentially compatible,INFJ - potentially compatible,INFP - potentially compatible,ISFJ - potentially compatible,ISTJ - potentially compatible,ENFP - potentially compatible,ENTJ - least compatible,INTJ - least compatible,ENTP - least compatible,INTP - least compatible
ISFJ,ISFJ - very compatible,ENFJ - very compatible,ESTJ - very compatible,ESFJ - potentially compatible,ESTP - potentially compatible,ISFP - potentially compatible,INFJ - potentially compatible,INFP - potentially compatible,ESFP - potentially compatible,ISTJ - potentially compatible,ISFP - potentially compatible,ENTJ - least compatible,INTJ - least compatible,ENTP - least compatible,INTP - least compatible,ENFP - least compatible
ENTP,ENTP- very compatible,INTP - very compatible,INFJ - very compatible,ESTJ - potentially compatible,ISTJ - potentially compatible,ESTP - potentially compatible,ESFP - potentially compatible,ENTJ - potentially compatible,ENFP - potentially compatible,INFP - potentially compatible,ENFJ - potentially compatible,ESFJ - least compatible,ISFJ - least compatible,ESTP - least compatible,ISFP - least compatible,INTJ - least compatible
INTP,ENTP - very compatible,INTP - very compatible,INTJ - very compatible,ESTJ - potentially compatible,IESTJ - potentially compatible,ESTP - potentially compatible,ENTJ - potentially compatible,ENFJ - potentially compatible,INFJ - potentially compatible,ENFP - potentially compatible,INFP - potentially compatible,ESFJ - least compatible,ISFJ - least compatible,ISTP - least compatible,ESFP - least compatible,ISFP - least compatible
ISTP,ESTJ - very compatible,ISTJ - very compatible,ENTJ - very compatible,ESTP - very compatible,ESFJ - potentially compatible,ISFP - potentially compatible,INTJ - potentially compatible,ISFJ - potentially compatible,ISTP - least compatible,ESFP - least compatible,ENTP - least compatible,INTP - least compatible,ENFJ - least compatible,INFJ - least compatible,ENFP - least compatible,INFP - least compatible
INFP,ENFP - very compatible,INFP - very compatible,ENFJ - very compatible,INFJ - very compatible,ISFJ - potentially compatible,ESFJ - potentially compatible,ESFP - potentially compatible,ISFP - potentially compatible,ENTP - potentially compatible,INTP - potentially compatible,ESTJ - least compatible,ISTJ - least compatible,ESTP - least compatible,ISTP - least compatible,ENTJ - least compatible,INTJ - least compatible
ESTP,ISTJ - very compatible,ESTP - very compatible,ISTP - very compatible,ESFP - very compatible,ESTJ - potentially compatible,ISFP - potentially compatible,ENTJ - potentially compatible,ENTP - potentially compatible,INTP - potentially compatible,ISFJ - potentially compatible,ESFJ - least compatible,INTJ - least compatible,ENFJ - least compatible,INFJ - least compatible,ENFP - least compatible,INFP - least compatible
INTJ,ESTJ - very compatible,INTJ - very compatible,ISTP - very compatible,ENTJ - very compatible,INTP - potentially compatible,INFJ - potentially compatible,ISTJ - potentially compatible,ENFP - potentially compatible,ESFJ - least compatible,ISFJ - least compatible,ESTP - least compatible,ESFP - least compatible,ISFP - least compatible,ENTP - least compatible,INFP - least compatible,ENFJ - least compatible
