1,Hillary Clinton,ESTJ
2,Michelle Obama,ESTJ
3,Simon Cowell,ESTJ
4,Desmond Tutu,ESFJ
5,Hugh Jackman,ESFJ
6,Sarah Palin,ESFJ
7,George Washington,ISTJ
8,Natalie Portman,ISTJ
9,Kanye West,ISFJ
10,Kate Middleton,ISFJ
11,David Beckham,ISFP
12, Michael Jackson,ISFP
13,Rihanna,ISFP
14,Scarlett Johansson,ISTP
15,Kristen Stewart,ISTP
16,Tom Cruise,ISTP
17,Christian Bale,ISTP
18,Bill Clinton,ESFP
19,Miley Cyrus,ESFP
20,Donald Trump,ESTP
21,Angelina Jolie,ESTP
22,Winston Churchill,ESTP
23,Celine Dion,ENTP
24,Barack Obama,ENTP
25,Robert Downey Jr.,ENTP
26,Dr. Seuss,ENFP
27,Sandra Bullock,ENFP
28,Robin Williams,ENFP
